LASK,LBID,NEWDAY,PCHANGE,PCHANGE0,RETURN,SIGN_VOL,VOLUME,INDICATOR
3.813527759,3.811539467,0,1,2,0.000331437,-4.605170186,100,-1
3.813748436,3.812644561,0,1,1,0.000662544,-4.605170186,100,-1
3.813748436,3.812644561,0,0,0,0,-4.605170186,100,-1
3.813748436,3.811981651,0,1,2,-0.000331217,-4.605170186,100,-1
3.813748436,3.81220267,0,0,0,0.000110418,4.605170186,100,1
3.813748436,3.811760583,0,0,0,-0.000220848,-4.605170186,100,-1
3.813086258,3.811097087,0,1,2,-0.000662837,4.605170186,100,1
3.813307032,3.811097087,0,0,0,0.000110503,-4.605170186,100,-1
3.813086258,3.811097087,0,1,2,-0.000110503,-4.605170186,100,-1
3.813748436,3.811981651,0,0,0,0.000773267,4.605170186,100,1
3.813086258,3.811539467,0,0,0,-0.000552273,-4.605170186,100,-1
3.811981651,3.810211739,0,1,2,-0.001216074,4.605170186,100,1
3.812865434,3.810654511,0,1,1,0.000663497,4.605170186,100,1
3.812865434,3.810654511,0,1,2,0,4.605170186,100,1
3.813086258,3.811097087,0,0,0,0.000331583,-4.605170186,100,-1
3.81242364,3.810211739,0,1,1,-0.000773865,-5.298317367,200,-1
3.81242364,3.810211739,0,0,0,0,-4.605170186,100,-1
3.811760583,3.810211739,0,1,2,-0.00033184,4.605170186,100,1
3.81242364,3.809768771,0,0,0,0.000110626,4.605170186,100,1
3.810875823,3.80999028,0,1,2,-0.000663937,-4.605170186,100,-1
3.811760583,3.809547214,0,0,0,0.000221361,-4.605170186,100,-1
3.811760583,3.809325607,0,0,0,-0.000110675,-4.605170186,100,-1
3.811318301,3.809547214,0,1,2,-0.000110687,-4.605170186,100,-1
3.811539467,3.809547214,0,1,2,0.000110687,-4.605170186,100,-1
3.81220267,3.80999028,0,0,0,0.00055325,-4.605170186,100,-1
3.811318301,3.80999028,0,0,0,-0.000442576,-4.605170186,100,-1
3.811539467,3.809325607,0,1,2,-0.000221361,4.605170186,100,1
3.81220267,3.81043315,0,0,0,0.000885152,-4.605170186,100,-1
3.811097087,3.81043315,0,1,2,-0.000553128,4.605170186,100,1
3.81242364,3.810875823,0,0,0,0.000884858,-5.298317367,200,-1
3.811097087,3.809768771,0,1,1,-0.001216882,4.605170186,100,1
3.811097087,3.809768771,0,1,2,0,4.605170186,100,1
3.81220267,3.81043315,0,1,2,0.000885152,-4.605170186,100,-1
3.812644561,3.81220267,0,1,1,0.001105339,-4.605170186,100,-1
3.812644561,3.81220267,0,1,2,0,-4.605170186,100,-1
3.813748436,3.811539467,0,1,2,0.000220921,4.605170186,100,1
3.813748436,3.812865434,0,1,2,0.000662471,-4.605170186,100,-1
3.815071479,3.813748436,0,1,1,0.001103144,-4.605170186,100,-1
